date,time,age,confirmed,deceased
2020-03-02,0,0s,32,0
2020-03-02,0,10s,169,0
2020-03-02,0,20s,1235,0
2020-03-02,0,30s,506,1
2020-03-02,0,40s,633,1
2020-03-02,0,50s,834,5
2020-03-02,0,60s,530,6
2020-03-02,0,70s,192,6
2020-03-02,0,80s,81,3
2020-03-03,0,0s,34,0
2020-03-03,0,10s,204,0
2020-03-03,0,20s,1417,0
2020-03-03,0,30s,578,1
2020-03-03,0,40s,713,1
2020-03-03,0,50s,952,5
2020-03-03,0,60s,597,7
2020-03-03,0,70s,224,9
2020-03-03,0,80s,93,5
2020-03-04,0,0s,34,0
2020-03-04,0,10s,233,0
2020-03-04,0,20s,1575,0
2020-03-04,0,30s,631,1
2020-03-04,0,40s,790,1
2020-03-04,0,50s,1051,5
2020-03-04,0,60s,646,7
2020-03-04,0,70s,260,12
2020-03-04,0,80s,108,6
2020-03-05,0,0s,38,0
2020-03-05,0,10s,257,0
2020-03-05,0,20s,1727,0
2020-03-05,0,30s,659,1
2020-03-05,0,40s,847,1
2020-03-05,0,50s,1127,5
2020-03-05,0,60s,699,8
2020-03-05,0,70s,288,13
2020-03-05,0,80s,124,7
2020-03-06,0,0s,45,0
2020-03-06,0,10s,292,0
2020-03-06,0,20s,1877,0
2020-03-06,0,30s,693,1
2020-03-06,0,40s,889,1
2020-03-06,0,50s,1217,5
2020-03-06,0,60s,763,11
2020-03-06,0,70s,340,14
2020-03-06,0,80s,168,10
2020-03-07,0,0s,52,0
2020-03-07,0,10s,327,0
2020-03-07,0,20s,2038,0
2020-03-07,0,30s,727,1
2020-03-07,0,40s,941,1
2020-03-07,0,50s,1287,5
2020-03-07,0,60s,830,11
2020-03-07,0,70s,384,14
2020-03-07,0,80s,191,12
2020-03-08,0,0s,58,0
2020-03-08,0,10s,360,0
2020-03-08,0,20s,2133,0
2020-03-08,0,30s,760,1
2020-03-08,0,40s,975,1
2020-03-08,0,50s,1349,5
2020-03-08,0,60s,878,11
2020-03-08,0,70s,409,18
2020-03-08,0,80s,212,14
2020-03-09,0,0s,66,0
2020-03-09,0,10s,381,0
2020-03-09,0,20s,2190,0
2020-03-09,0,30s,779,1
2020-03-09,0,40s,1005,1
2020-03-09,0,50s,1391,5
2020-03-09,0,60s,916,12
2020-03-09,0,70s,438,18
2020-03-09,0,80s,216,14
2020-03-10,0,0s,67,0
2020-03-10,0,10s,393,0
2020-03-10,0,20s,2213,0
2020-03-10,0,30s,789,1
2020-03-10,0,40s,1030,1
2020-03-10,0,50s,1416,5
2020-03-10,0,60s,929,13
2020-03-10,0,70s,454,19
2020-03-10,0,80s,222,15
2020-03-11,0,0s,75,0
2020-03-11,0,10s,405,0
2020-03-11,0,20s,2238,0
2020-03-11,0,30s,804,1
2020-03-11,0,40s,1082,1
2020-03-11,0,50s,1472,6
2020-03-11,0,60s,960,14
2020-03-11,0,70s,483,21
2020-03-11,0,80s,236,17
2020-03-12,0,0s,76,0
2020-03-12,0,10s,412,0
2020-03-12,0,20s,2261,0
2020-03-12,0,30s,812,1
2020-03-12,0,40s,1101,1
2020-03-12,0,50s,1495,6
2020-03-12,0,60s,972,14
2020-03-12,0,70s,497,24
2020-03-12,0,80s,243,20
2020-03-13,0,0s,77,0
2020-03-13,0,10s,421,0
2020-03-13,0,20s,2274,0
2020-03-13,0,30s,823,1
2020-03-13,0,40s,1117,1
2020-03-13,0,50s,1523,6
2020-03-13,0,60s,985,14
2020-03-13,0,70s,506,24
2020-03-13,0,80s,253,21
2020-03-14,0,0s,81,0
2020-03-14,0,10s,424,0
2020-03-14,0,20s,2287,0
2020-03-14,0,30s,833,1
2020-03-14,0,40s,1133,1
2020-03-14,0,50s,1551,6
2020-03-14,0,60s,999,14
2020-03-14,0,70s,515,27
2020-03-14,0,80s,263,23
2020-03-15,0,0s,83,0
2020-03-15,0,10s,427,0
2020-03-15,0,20s,2301,0
2020-03-15,0,30s,842,1
2020-03-15,0,40s,1141,1
2020-03-15,0,50s,1568,6
2020-03-15,0,60s,1012,14
2020-03-15,0,70s,525,28
2020-03-15,0,80s,263,25
2020-03-16,0,0s,85,0
2020-03-16,0,10s,432,0
2020-03-16,0,20s,2313,0
2020-03-16,0,30s,849,1
2020-03-16,0,40s,1147,1
2020-03-16,0,50s,1585,6
2020-03-16,0,60s,1024,14
2020-03-16,0,70s,531,28
2020-03-16,0,80s,270,25
2020-03-17,0,0s,86,0
2020-03-17,0,10s,436,0
2020-03-17,0,20s,2330,0
2020-03-17,0,30s,856,1
2020-03-17,0,40s,1164,1
2020-03-17,0,50s,1602,6
2020-03-17,0,60s,1033,16
2020-03-17,0,70s,539,29
2020-03-17,0,80s,274,28
2020-03-18,0,0s,87,0
2020-03-18,0,10s,438,0
2020-03-18,0,20s,2342,0
2020-03-18,0,30s,873,1
2020-03-18,0,40s,1171,1
2020-03-18,0,50s,1615,6
2020-03-18,0,60s,1059,16
2020-03-18,0,70s,542,29
2020-03-18,0,80s,286,31
2020-03-19,0,0s,91,0
2020-03-19,0,10s,444,0
2020-03-19,0,20s,2358,0
2020-03-19,0,30s,886,1
2020-03-19,0,40s,1181,1
2020-03-19,0,50s,1642,7
2020-03-19,0,60s,1080,17
2020-03-19,0,70s,562,34
2020-03-19,0,80s,321,31
2020-03-20,0,0s,97,0
2020-03-20,0,10s,452,0
2020-03-20,0,20s,2365,0
2020-03-20,0,30s,893,1
2020-03-20,0,40s,1193,1
2020-03-20,0,50s,1656,7
2020-03-20,0,60s,1099,17
2020-03-20,0,70s,568,35
2020-03-20,0,80s,329,33
2020-03-21,0,0s,99,0
2020-03-21,0,10s,457,0
2020-03-21,0,20s,2380,0
2020-03-21,0,30s,900,1
2020-03-21,0,40s,1203,1
2020-03-21,0,50s,1672,7
2020-03-21,0,60s,1118,17
2020-03-21,0,70s,589,37
2020-03-21,0,80s,381,39
2020-03-22,0,0s,101,0
2020-03-22,0,10s,460,0
2020-03-22,0,20s,2396,0
2020-03-22,0,30s,909,1
2020-03-22,0,40s,1221,1
2020-03-22,0,50s,1691,7
2020-03-22,0,60s,1132,17
2020-03-22,0,70s,595,37
2020-03-22,0,80s,392,41
2020-03-23,0,0s,103,0
2020-03-23,0,10s,460,0
2020-03-23,0,20s,2417,0
2020-03-23,0,30s,917,1
2020-03-23,0,40s,1228,1
2020-03-23,0,50s,1702,7
2020-03-23,0,60s,1139,18
2020-03-23,0,70s,599,38
2020-03-23,0,80s,396,46
2020-03-24,0,0s,105,0
2020-03-24,0,10s,468,0
2020-03-24,0,20s,2438,0
2020-03-24,0,30s,921,1
2020-03-24,0,40s,1234,1
2020-03-24,0,50s,1716,8
2020-03-24,0,60s,1146,20
2020-03-24,0,70s,608,38
2020-03-24,0,80s,401,52
2020-03-25,0,0s,105,0
2020-03-25,0,10s,475,0
2020-03-25,0,20s,2473,0
2020-03-25,0,30s,943,1
2020-03-25,0,40s,1246,1
2020-03-25,0,50s,1724,10
2020-03-25,0,60s,1154,20
2020-03-25,0,70s,611,39
2020-03-25,0,80s,406,55
2020-03-26,0,0s,106,0
2020-03-26,0,10s,488,0
2020-03-26,0,20s,2508,0
2020-03-26,0,30s,955,1
2020-03-26,0,40s,1252,1
2020-03-26,0,50s,1738,10
2020-03-26,0,60s,1162,20
2020-03-26,0,70s,616,41
2020-03-26,0,80s,416,58
2020-03-27,0,0s,108,0
2020-03-27,0,10s,496,0
2020-03-27,0,20s,2532,0
2020-03-27,0,30s,960,1
2020-03-27,0,40s,1256,1
2020-03-27,0,50s,1752,10
2020-03-27,0,60s,1170,21
2020-03-27,0,70s,630,41
2020-03-27,0,80s,428,65
2020-03-28,0,0s,109,0
2020-03-28,0,10s,501,0
2020-03-28,0,20s,2567,0
2020-03-28,0,30s,978,1
2020-03-28,0,40s,1278,1
2020-03-28,0,50s,1780,10
2020-03-28,0,60s,1201,21
2020-03-28,0,70s,632,41
2020-03-28,0,80s,432,70
2020-03-29,0,0s,111,0
2020-03-29,0,10s,508,0
2020-03-29,0,20s,2602,0
2020-03-29,0,30s,993,1
2020-03-29,0,40s,1292,1
2020-03-29,0,50s,1798,10
2020-03-29,0,60s,1210,21
2020-03-29,0,70s,635,43
2020-03-29,0,80s,434,76
2020-03-30,0,0s,112,0
2020-03-30,0,10s,513,0
2020-03-30,0,20s,2630,0
2020-03-30,0,30s,1002,1
2020-03-30,0,40s,1297,1
2020-03-30,0,50s,1812,10
2020-03-30,0,60s,1218,21
2020-03-30,0,70s,640,45
2020-03-30,0,80s,437,80
2020-03-31,0,0s,112,0
2020-03-31,0,10s,515,0
2020-03-31,0,20s,2656,0
2020-03-31,0,30s,1012,1
2020-03-31,0,40s,1312,1
2020-03-31,0,50s,1851,10
2020-03-31,0,60s,1235,22
2020-03-31,0,70s,651,46
2020-03-31,0,80s,442,82
2020-04-01,0,0s,116,0
2020-04-01,0,10s,519,0
2020-04-01,0,20s,2682,0
2020-04-01,0,30s,1027,1
2020-04-01,0,40s,1323,1
2020-04-01,0,50s,1865,10
2020-04-01,0,60s,1245,23
2020-04-01,0,70s,658,46
2020-04-01,0,80s,452,84
2020-04-02,0,0s,119,0
2020-04-02,0,10s,522,0
2020-04-02,0,20s,2704,0
2020-04-02,0,30s,1043,1
2020-04-02,0,40s,1336,2
2020-04-02,0,50s,1878,11
2020-04-02,0,60s,1258,23
2020-04-02,0,70s,663,47
2020-04-02,0,80s,453,85
2020-04-03,0,0s,121,0
2020-04-03,0,10s,528,0
2020-04-03,0,20s,2734,0
2020-04-03,0,30s,1052,1
2020-04-03,0,40s,1350,2
2020-04-03,0,50s,1887,12
2020-04-03,0,60s,1266,24
2020-04-03,0,70s,668,49
2020-04-03,0,80s,456,86
2020-04-04,0,0s,122,0
2020-04-04,0,10s,530,0
2020-04-04,0,20s,2761,0
2020-04-04,0,30s,1066,1
2020-04-04,0,40s,1358,2
2020-04-04,0,50s,1898,12
2020-04-04,0,60s,1282,25
2020-04-04,0,70s,678,50
2020-04-04,0,80s,461,87
2020-04-05,0,0s,124,0
2020-04-05,0,10s,535,0
2020-04-05,0,20s,2789,0
2020-04-05,0,30s,1083,1
2020-04-05,0,40s,1370,2
2020-04-05,0,50s,1904,13
2020-04-05,0,60s,1289,25
2020-04-05,0,70s,681,51
2020-04-05,0,80s,462,91
2020-04-06,0,0s,126,0
2020-04-06,0,10s,542,0
2020-04-06,0,20s,2804,0
2020-04-06,0,30s,1086,1
2020-04-06,0,40s,1375,2
2020-04-06,0,50s,1906,13
2020-04-06,0,60s,1294,26
2020-04-06,0,70s,686,52
2020-04-06,0,80s,465,92
2020-04-07,0,0s,126,0
2020-04-07,0,10s,544,0
2020-04-07,0,20s,2819,0
2020-04-07,0,30s,1092,1
2020-04-07,0,40s,1382,2
2020-04-07,0,50s,1909,13
2020-04-07,0,60s,1304,26
2020-04-07,0,70s,689,57
2020-04-07,0,80s,466,93
2020-04-08,0,0s,126,0
2020-04-08,0,10s,548,0
2020-04-08,0,20s,2832,0
2020-04-08,0,30s,1102,1
2020-04-08,0,40s,1387,3
2020-04-08,0,50s,1915,13
2020-04-08,0,60s,1312,27
2020-04-08,0,70s,692,60
2020-04-08,0,80s,470,96
2020-04-09,0,0s,128,0
2020-04-09,0,10s,552,0
2020-04-09,0,20s,2844,0
2020-04-09,0,30s,1109,1
2020-04-09,0,40s,1394,3
2020-04-09,0,50s,1917,13
2020-04-09,0,60s,1314,27
2020-04-09,0,70s,692,60
2020-04-09,0,80s,473,100
2020-04-10,0,0s,129,0
2020-04-10,0,10s,553,0
2020-04-10,0,20s,2851,0
2020-04-10,0,30s,1113,1
2020-04-10,0,40s,1396,3
2020-04-10,0,50s,1920,13
2020-04-10,0,60s,1320,28
2020-04-10,0,70s,694,62
2020-04-10,0,80s,474,101
2020-04-11,0,0s,130,0
2020-04-11,0,10s,558,0
2020-04-11,0,20s,2856,0
2020-04-11,0,30s,1115,1
2020-04-11,0,40s,1399,3
2020-04-11,0,50s,1926,14
2020-04-11,0,60s,1327,29
2020-04-11,0,70s,694,63
2020-04-11,0,80s,475,101
2020-04-12,0,0s,130,0
2020-04-12,0,10s,561,0
2020-04-12,0,20s,2869,0
2020-04-12,0,30s,1120,1
2020-04-12,0,40s,1400,3
2020-04-12,0,50s,1930,14
2020-04-12,0,60s,1330,31
2020-04-12,0,70s,697,63
2020-04-12,0,80s,475,102
2020-04-13,0,0s,132,0
2020-04-13,0,10s,562,0
2020-04-13,0,20s,2879,0
2020-04-13,0,30s,1122,1
2020-04-13,0,40s,1401,3
2020-04-13,0,50s,1932,14
2020-04-13,0,60s,1335,32
2020-04-13,0,70s,698,64
2020-04-13,0,80s,476,103
2020-04-14,0,0s,132,0
2020-04-14,0,10s,565,0
2020-04-14,0,20s,2886,0
2020-04-14,0,30s,1126,1
2020-04-14,0,40s,1405,3
2020-04-14,0,50s,1935,14
2020-04-14,0,60s,1338,33
2020-04-14,0,70s,700,65
2020-04-14,0,80s,477,106
2020-04-15,0,0s,132,0
2020-04-15,0,10s,569,0
2020-04-15,0,20s,2895,0
2020-04-15,0,30s,1131,1
2020-04-15,0,40s,1408,3
2020-04-15,0,50s,1937,14
2020-04-15,0,60s,1339,33
2020-04-15,0,70s,702,68
2020-04-15,0,80s,478,106
2020-04-16,0,0s,135,0
2020-04-16,0,10s,572,0
2020-04-16,0,20s,2900,0
2020-04-16,0,30s,1132,1
2020-04-16,0,40s,1410,3
2020-04-16,0,50s,1940,14
2020-04-16,0,60s,1341,33
2020-04-16,0,70s,703,68
2020-04-16,0,80s,480,110
2020-04-17,0,0s,136,0
2020-04-17,0,10s,576,0
2020-04-17,0,20s,2909,0
2020-04-17,0,30s,1135,1
2020-04-17,0,40s,1411,3
2020-04-17,0,50s,1942,14
2020-04-17,0,60s,1342,33
2020-04-17,0,70s,704,68
2020-04-17,0,80s,480,111
2020-04-18,0,0s,138,0
2020-04-18,0,10s,576,0
2020-04-18,0,20s,2918,0
2020-04-18,0,30s,1136,1
2020-04-18,0,40s,1412,3
2020-04-18,0,50s,1944,15
2020-04-18,0,60s,1343,33
2020-04-18,0,70s,705,68
2020-04-18,0,80s,481,112
2020-04-19,0,0s,138,0
2020-04-19,0,10s,578,0
2020-04-19,0,20s,2921,0
2020-04-19,0,30s,1137,2
2020-04-19,0,40s,1412,3
2020-04-19,0,50s,1945,15
2020-04-19,0,60s,1343,34
2020-04-19,0,70s,705,68
2020-04-19,0,80s,482,112
2020-04-20,0,0s,138,0
2020-04-20,0,10s,581,0
2020-04-20,0,20s,2926,0
2020-04-20,0,30s,1139,2
2020-04-20,0,40s,1412,3
2020-04-20,0,50s,1948,15
2020-04-20,0,60s,1343,34
2020-04-20,0,70s,705,69
2020-04-20,0,80s,482,113
2020-04-21,0,0s,138,0
2020-04-21,0,10s,582,0
2020-04-21,0,20s,2928,0
2020-04-21,0,30s,1139,2
2020-04-21,0,40s,1413,3
2020-04-21,0,50s,1951,15
2020-04-21,0,60s,1343,34
2020-04-21,0,70s,706,70
2020-04-21,0,80s,483,113
2020-04-22,0,0s,138,0
2020-04-22,0,10s,583,0
2020-04-22,0,20s,2931,0
2020-04-22,0,30s,1140,2
2020-04-22,0,40s,1417,3
2020-04-22,0,50s,1951,15
2020-04-22,0,60s,1344,34
2020-04-22,0,70s,707,71
2020-04-22,0,80s,483,113
2020-04-23,0,0s,138,0
2020-04-23,0,10s,584,0
2020-04-23,0,20s,2933,0
2020-04-23,0,30s,1141,2
2020-04-23,0,40s,1418,3
2020-04-23,0,50s,1952,15
2020-04-23,0,60s,1344,35
2020-04-23,0,70s,708,71
