case_id,province,city,group,infection_case,confirmed,latitude,longitude
51,Chungcheongnam-do,Seosan-si,TRUE,Seosan-si Laboratory,8,37.000354,126.354443
52,Chungcheongnam-do,-,FALSE,etc,1,-,-
53,Jeollabuk-do,-,FALSE,contact with patient,2,-,-
54,Jeollabuk-do,from other city,TRUE,Shincheonji Church,1,-,-
55,Jeollabuk-do,-,FALSE,overseas inflow,1,-,-
56,Jeollabuk-do,-,FALSE,etc,3,-,-
57,Jeollanam-do,from other city,TRUE,Shincheonji Church,1,-,-
58,Jeollanam-do,-,FALSE,overseas inflow,1,-,-
59,Jeollanam-do,-,FALSE,contact with patient,1,-,-
60,Jeollanam-do,-,FALSE,etc,1,-,-
61,Gyeongsangbuk-do,from other city,TRUE,Shincheonji Church,503,-,-
62,Gyeongsangbuk-do,Cheongdo-gun,TRUE,Cheongdo Daenam Hospital,119,35.64887,128.7368
63,Gyeongsangbuk-do,Bonghwa-gun,TRUE,Bonghwa Pureun Nursing Home,56,36.92757,128.9099
64,Gyeongsangbuk-do,from other city,TRUE,Pilgrimage to Israel,49,-,-
65,Gyeongsangbuk-do,Chilgok-gun,TRUE,Milal Shelter,25,36.0581,128.4941
66,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Seorin Nursing Home,21,35.782149,128.801498
67,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
68,Gyeongsangbuk-do,Gyeongsan-si,TRUE,Gyeongsan Cham Joeun Community Center,15,35.82558,128.7373
69,Gyeongsangbuk-do,-,FALSE,etc,320,-,-
70,Gyeongsangnam-do,from other city,TRUE,Shincheonji Church,29,-,-
71,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang Church,10,35.68556,127.9127
72,Gyeongsangnam-do,Geochang-gun,TRUE,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
73,Gyeongsangnam-do,Changwon-si,TRUE,Hanmaeum Changwon Hospital,7,35.22115,128.6866
74,Gyeongsangnam-do,Changnyeong-gun,TRUE,Changnyeong Coin Karaoke,7,35.54127,128.5008
75,Gyeongsangnam-do,from other city,TRUE,Onchun Church,2,-,-
76,Gyeongsangnam-do,-,FALSE,etc,22,-,-
77,Jeju-do,-,FALSE,etc,4,-,-
